secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
gain:gaining,gained,gains,regain,loss,lose,earn,increase,decline,lost
wherever:whenever,whatever,everywhere,where,anywhere,always,elsewhere,whoever,regardless
unknown:unclear,uncertain,unidentified,exact,unaware,mystery,mysterious,anonymous,known,unrelated
recognizes:recognizing,recognize,recognized,understands,demonstrates,considers,recognition,reflects,sees,supports
grab:grabbed,steal,seize,pull,catch,get,give,hang,snap,stole
cats:cat,pets,dogs,animals,pet,dog,animal,birds,horses
engine:engines,motor,tire,mechanical,diesel,fuel,tires,car,aircraft,airplane
delivering:deliver,delivered,providing,delivers,delivery,supplying,achieving,bringing,distributing,producing
push:pushing,pushed,move,pull,bring,climb,drive,put,go,lift
gray:brown,blue,white,dark,black,red,colored,pink,yellow,orange
communities:community,towns,neighborhoods,families,municipalities,villages,areas,residents,regions,cities
fight:fighting,fights,battle,fought,battles,bout,fighter,battling,struggle,fighters
worker:workers,employee,supervisor,employer,nurse,employees,contractor,workplace,firefighter
recognized:recognize,recognizing,recognizes,recognition,honored,respected,regarded,distinguished,known,considered
nutrition:diet,health,foods,food,obesity,fitness,calories,eating,education,healthier
bit:little,maybe,somewhat,definitely,really,lot,obviously,quite,kind,just
forget:remember,forgotten,know,remind,realize,ignore,tell,worry,reminded
pleasure:joy,privilege,satisfaction,fun,passion,happiness,pride,wonderful,rewarding,comfort
met:meet,visited,meets,meeting,talked,spoke,attended,discussed,approached,spoken
spending:expenditure,expenditures,budgets,spend,budget,borrowing,deficits,stimulus,spent,deficit
earning:earn,earned,paying,gaining,giving,receiving,rewarded,securing,achieving,winning
eyes:eye,ears,smile,mind,nose,fingers,ear,minds,mouth,hearts
efficiently:effectively,efficient,accurately,enabling,manage,quickly,properly,faster,easily,enable
region:regions,country,regional,area,areas,communities,continent,towns
filmed:filming,footage,aired,film,documentary,scenes,staged,movie,starred,premiere
enhancing:enhance,improving,boosting,strengthening,enhanced,improve,expanding,reducing,maintaining,strengthen
leave:leaving,stay,left,leaves,return,quit,retire,enter,sit,go
moving:moved,move,shifting,moves,pushing,heading,coming,turning,bringing,rolling
beaches:beach,coastal,coast,islands,waters,parks,island,sand,ocean
manages:oversees,operates,managed,handles,owns,maintains,sells,manage,helps,uses
small:large,tiny,smaller,larger,smallest,size,big,modest,sized
adventure:journey,sequel,epic,fun,romance,trip,tale,fantasy,quest,ride
staffing:staff,workforce,hiring,personnel,recruitment,layoffs,employees,payroll,departments,budgets
wide:wider,across,broad,narrow,deep,open,cross,vast,corners,large
lawsuit:lawsuits,sued,suit,suing,sue,complaint,plaintiffs,litigation,filed,alleging
parked:parking,van,garage,intersection,vehicle,drove,stolen,rear,sitting,spotted
managed:tried,manages,attempted,able,manage,attempting,struggled,helped,failed,trying
adapt:adjust,cope,react,changing,integrate,survive,develop,respond,adopt,implement
neighborhood:neighborhoods,street,neighbors,suburb,city,downtown,streets,suburbs,area,community
agencies:organizations,departments,agency,governments,entities,groups,companies,institutions,municipalities
atmosphere:environment,mood,climate,attitude,feeling,excitement,spirit,tension,venue,intensity
representatives:representative,delegation,leaders,officials,members,stakeholders,executives,meetings
fitting:fit,fits,suited,perfect,worthy,appropriate,suitable,strange,memorable,worn
learned:learn,taught,knew,learning,talked,teach,realized,discovered,know,lessons
musical:artistic,jazz,music,musicians,piano,band,singing,songs,comedy
underneath:beneath,inside,beside,onto,feet,surface,hidden,mud,atop,behind
altogether:entirely,completely,simply,temporarily,totally,permanently,essentially,either,instead,even
tourists:tourist,visitors,travelers,tourism,locals,visitor,foreigners,passengers,guests
promote:promoting,promotes,encourage,enhance,stimulate,facilitate,develop,educate,strengthen,spur
must:should,can,ought,will,need,may,shall,required,could,needs
drivers:driver,motorists,riders,driving,cars,wheel,speeding,car,passengers
risks:risk,dangers,uncertainties,factors,danger,consequences,challenges,difficulties,likelihood,implications
presidential:presidency,election,primaries,elections,electoral
encouraging:encouraged,encourage,encourages,positive,inviting,urging,promising,improving,supportive,welcoming
century:centuries,decade,decades,years,history,generations,twenty
mandate:mandated,authority,requirement,constitution,statute,provisions,jurisdiction,pledge,policy,mission
remembered:remember,remembers,loved,forgotten,recalled,tribute,reminded,thought,knew,forget
commitment:dedication,commitments,pledge,committed,willingness,desire,promise,determination,excellence,contribution
capabilities:capability,functionality,technologies,abilities,expertise,solutions,tools,systems,technology,ability
narrow:wide,broad,wider,slim,steep,close,tight,small,stretched,large
spin:spun,turn,twist,bounce,roll,shake,hook,turning,switch,reverse
divided:split,divide,separated,separate,allocated,comprising,divisions,comprised,distinct,drawn
ladies:lady,women,girls,men,boys,sexy,lovely
shirt:shirts,jacket,jersey,pants,hat,clothes,uniforms,uniform
dying:die,dead,suffering,death,dies,died,sick,alive,survival,surviving
worked:working,works,work,fought,employed,served,battled,tried,hired
bonus:bonuses,incentive,rewards,salary,reward,compensation,prize,incentives,allowance,dividends
favors:favored,favor,supports,opposed,oppose,preference,prefer,benefited,denies,promotes
subtle:clever,profound,obvious,visual,dramatic,slight,sophisticated,simple,visible,precise
commodities:commodity,metals,equities,stocks,currencies,prices,goods,markets
safe:safer,safely,secure,healthy,reliable,safety,comfortable,stable,protected,adequate
receivers:receiver,quarterbacks,quarterback,cornerback,interceptions,linebacker,touchdowns,receptions
ratio:average,percentage,rate,rates,adjusted,proportion,total,levels,per
doses:dose,vaccine,vaccines,medications,medication,amounts,drugs,injection,patients
killed:died,killing,dead,murdered,wounded,slain,deaths,injured,kidnapped,abducted
welcoming:welcome,welcomed,inviting,welcomes,greeted,supportive,friendly,enthusiastic,encouraging
remained:remain,remains,stayed,kept,were,stood,was,slipped,fell,became
friendly:oriented,welcoming,loving,warm,hostile,relaxed,supportive,helpful,comfortable,quiet
elevated:high,lower,higher,lowered,above,increased,rising,low,below,reduced
qualifying:qualifier,qualify,qualified,finishing,finish,finals,quarterfinals,lap,semifinals
permanent:temporary,permanently,lasting,interim,new,replacement,removal,suitable,term,immediate
consultation:discussions,consult,review,discussion,input,dialogue,meetings,stakeholders,meeting,evaluation
skin:hair,tissue,bone,teeth,nose,makeup,color,legs,bones,throat
session:sessions,meeting,day,workshop,afternoon,meetings,seminar,week,morning,evening
hope:hoping,hopeful,hopefully,hopes,hoped,believe,wish,chance,optimism
donations:donation,donors,donated,contributions,donate,fundraising,gifts,donor,charities,volunteers
samples:sample,laboratory,tests,testing,lab,tested,analyzed,test,contamination
windows:window,doors,walls,roof,glass,door,wall,buildings,ceiling
containers:container,bottles,bags,cargo,boxes,trucks,packaging,bottle,warehouse,vessels
frustrated:unhappy,angry,disappointed,confused,tired,frustrating,anxious,embarrassed,frustration,overwhelmed
district:districts,county,city,state,superintendent,school,township,schools
turns:turn,turned,turning,goes,gets,comes,becomes,finds,takes,puts
motive:motivation,suspect,reason,purpose,reasons,specifics,intentions,suspects,intention,murder
triple:double,doubled,doubles,single,homer,tying,capped
unemployment:unemployed,employment,incomes,wages,economy,economic,foreclosures,recession,jobs
stores:store,retailers,retailer,shops,outlets,retail,mall,shoppers
slump:downturn,slowdown,recession,meltdown,slide,sluggish,decline,woes
teenager:boy,girl,teen,man,woman,teenagers,teenage,kid,mother,grandmother
pipes:pipe,sewer,water,pumps,leak,drain,tanks,pipeline,electrical,containers
demonstrated:demonstrating,demonstrate,demonstrates,shown,showed,proven,displayed,proves,proved,demonstration
expanding:expand,expanded,expansion,increasing,growing,enhancing,extending,strengthening,establishing,boosting
secular:religious,democratic,religion,liberal,conservative
fear:fears,worry,feared,anxiety,afraid,worries,concern,worried,scared,panic
improves:improved,improve,reduces,improving,enhance,enhancing,enhanced,helps,ensures,builds
applying:applied,apply,using,obtaining,application,accepting,applicants,applies,adopting,implementing
word:phrase,words,meaning,message,language,name,quote,spoken,describe
caucus:primaries,delegates,election,party,senators
clip:video,footage,videos,tape,camera,episode,photo,filmed
receive:receives,received,receiving,provide,earn,obtain,given,eligible,give,get
fundamentals:fundamental,outlook,bullish,economics,volatility,philosophy,principles,commodity,commodities,concepts
packaging:products,beverage,manufacturing,plastic,labels,containers,product,container,manufacture
significance:importance,implications,context,impact,urgency,important,distinction,heritage,value,achievement
poor:bad,inadequate,weak,terrible,poorly,decent,good,lack,horrible
demonstrates:demonstrated,demonstrate,demonstrating,reflects,confirms,proves,recognizes,indicates,shows,reveals
subsequently:eventually,promptly,then,initially,recently,previously,later,ultimately,subsequent,after
lows:highs,peak,low,levels,benchmark,dipped,futures,dip,slump
okay:anyway,maybe,guess,suppose,gonna,really,going
wealth:fortune,wealthy,rich,assets,asset,resources,prosperity,knowledge,vast,income
deserve:deserves,deserved,want,owe,ought,do,need,get,appreciate,worthy
makers:manufacturers,maker,manufacturer,producers,distributors,companies,suppliers,retailers,exporters,industry
sustainable:sustainability,conservation,viable,prosperity,organic,sustain,efficient,healthier,affordable
avoid:avoiding,avoided,prevent,minimize,escape,eliminate,preventing,reduce,prevented,keep
surveillance:monitoring,cameras,radar,security,camera,tracking,imaging,enforcement,patrol
cry:crying,screaming,wonder,forget,laugh,shouted,remember,complain,joke,hear
identical:similar,different,same,comparable,unrelated,distinct,matched,separate,equal,exact
entertainment:music,multimedia,gaming,leisure,programming,interactive,arts,sports,dining
influenced:inspired,impacted,influence,affect,supported,benefited,reflected,affected,driven,linked
preseason:season,offseason,scrimmage,postseason,coaches,playoffs,rookie,opener
beyond:above,within,through,into,extend,extends,farther,outside,deeper
conduct:conducting,conducted,undertake,engage,conclude,perform,participate,behavior,proceed,undertaken
jail:prison,jailed,detention,sentence,probation,sentenced,convicted,parole,custody
based:headquartered,relies,focuses,relying,specializing,centered,firm,company
takeover:merger,buyout,acquisition,bid,shareholders,deal,shareholder,consolidation,stake
trophy:championship,title,crown,prize,medal,honors,award,medals,awards
fat:calories,diet,overweight,weight,obesity,protein,eat,eating,bone,muscle
impressed:surprised,pleased,thrilled,disappointed,liked,delighted,impressive,excited,satisfied,enthusiastic
infections:infection,diseases,disease,infected,virus,outbreak,bacteria,flu
dug:dig,buried,uncovered,deep,pulled,drilled,lined,dragged,found,planted
aspects:aspect,elements,issues,topics,concepts,element,things,themes,factors,characteristics
due:attributed,because,resulting,caused,despite,reflecting,resulted,partly,attributable
workers:worker,employees,employers,employee,workforce,nurses,jobs,people
collapse:collapsed,meltdown,plunge,sinking,turmoil,crisis,falling,failures,crash,breakdown
lyrics:songs,song,album,singing,poetry,sing,music,sang,singer,musical
besides:namely,other,like,while,mention,including,bother
privilege:pleasure,honor,opportunity,dignity,discretion,shame,exemption,freedom,wonderful,obligation
achieved:achieve,achieving,accomplished,accomplish,achievement,achievements,succeeded,exceeded,reached,demonstrated
